ID,image-3sec,image,segmentedRailImage,probaObstacle1,x1,dx1,y1,dy1,probaObstacle2,x2,dx2,y2,dy2,probaObstacle3,x3,dx3,y3,dy3
1575,1575_1.jpg,1575_2.jpg,1575_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
2155,2155_1.jpg,2155_2.jpg,2155_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
500,0500_1.jpg,0500_2.jpg,0500_rail.png,1.0,0.3133,0.1797,0.3264,0.15,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
366,0366_1.jpg,0366_2.jpg,0366_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1733,1733_1.jpg,1733_2.jpg,1733_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1354,1354_1.jpg,1354_2.jpg,1354_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1955,1955_1.jpg,1955_2.jpg,1955_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
477,0477_1.jpg,0477_2.jpg,0477_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
424,0424_1.jpg,0424_2.jpg,0424_rail.png,1.0,0.2539,0.2141,0.2903,0.2278,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
152,0152_1.jpg,0152_2.jpg,0152_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1261,1261_1.jpg,1261_2.jpg,1261_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
170,0170_1.jpg,0170_2.jpg,0170_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
222,0222_1.jpg,0222_2.jpg,0222_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1309,1309_1.jpg,1309_2.jpg,1309_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1161,1161_1.jpg,1161_2.jpg,1161_rail.png,1.0,0.3187,0.1086,0.4,0.0972,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1084,1084_1.jpg,1084_2.jpg,1084_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1125,1125_1.jpg,1125_2.jpg,1125_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1817,1817_1.jpg,1817_2.jpg,1817_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1701,1701_1.jpg,1701_2.jpg,1701_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1853,1853_1.jpg,1853_2.jpg,1853_rail.png,1.0,0.3305,0.1531,0.4,0.1111,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
163,0163_1.jpg,0163_2.jpg,0163_rail.png,1.0,0.4734,0.1352,0.1375,0.1139,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
123,0123_1.jpg,0123_2.jpg,0123_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
466,0466_1.jpg,0466_2.jpg,0466_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
660,0660_1.jpg,0660_2.jpg,0660_rail.png,1.0,0.3133,0.1203,0.4806,0.0778,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1646,1646_1.jpg,1646_2.jpg,1646_rail.png,1.0,0.3047,0.1805,0.4611,0.1306,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1963,1963_1.jpg,1963_2.jpg,1963_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
559,0559_1.jpg,0559_2.jpg,0559_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1567,1567_1.jpg,1567_2.jpg,1567_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
2169,2169_1.jpg,2169_2.jpg,2169_rail.png,1.0,0.3883,0.1281,0.3875,0.1306,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
2052,2052_1.jpg,2052_2.jpg,2052_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
2007,2007_1.jpg,2007_2.jpg,2007_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1582,1582_1.jpg,1582_2.jpg,1582_rail.png,1.0,0.3047,0.1891,0.4722,0.1319,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
473,0473_1.jpg,0473_2.jpg,0473_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
2002,2002_1.jpg,2002_2.jpg,2002_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1996,1996_1.jpg,1996_2.jpg,1996_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
998,0998_1.jpg,0998_2.jpg,0998_rail.png,1.0,0.2969,0.1062,0.375,0.0944,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
699,0699_1.jpg,0699_2.jpg,0699_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1111,1111_1.jpg,1111_2.jpg,1111_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1278,1278_1.jpg,1278_2.jpg,1278_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
1631,1631_1.jpg,1631_2.jpg,1631_rail.png,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
